BRA_ID,TRA_ID,CYCLE_NO,TRA_TYPE_ID,TRA_TYPE,GRP_ID,CUS_NUM,CUR_CODE,LED_CODE,CNTR_CODE,CNTR_ID,LED_ID,ACT_CODE,CUST_ID,TRA_YEAR,KASH_FLAG,TRA_SEQ,TODAY_DATE,DEB_CRE_IND,TRA_ACCOUNT,EXCHANGE_PRICE,EQU_TRA_ACCOUNT,CUR_PRI,HIGH_MARGIN,LOW_MARGIN,INVOICE_ID,INVOICE_NO,INVOICE_DATE,BUY_TRA_ID,SELL_TRA_ID,BOX_TRA_ID,BARN_TRA_ID,BARN_CODE,FLAG,CLOS_FLAG,CLOS_CYCLE,NOTES,USER_ID,TRA_DATE,LAST_USER_ID,LAST_TRA_DATE,DEL_FLAG,VAL_DATE,REGULAR_NUM,TRA_TIME,ORIG_BRA_ID,SUB_ACCT_CODE,POSTING_FLAG,TRA_BAL,APPROVE_FLAG,MAN_APP_ID,APPROVE_DATE,INT_DATE,MAT_DATE,ENT_ID,ENT_SEQ,ORIG_ENT_ID,ORIG_ENT_SEQ,ORIG_REMARKS,DOC_NUM,COUNTRY_CODE,DISTRICT_CODE,CITY_CODE,BANK_CODE
14,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,427,2021-03-31,1,189019,1,189019,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,22625,427,43055,427,(intermediate),,,,,
15,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,429,2021-03-31,1,127190,1,127190,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,21793,429,43055,429,(intermediate),,,,,
16,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,431,2021-03-31,1,182472,1,182472,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,4073,431,43055,431,(intermediate),,,,,
17,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,433,2021-03-31,1,157952,1,157952,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,16927,433,43055,433,(intermediate),,,,,
18,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,435,2021-03-31,1,110617,1,110617,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,7538,435,43055,435,(intermediate),,,,,
110,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,437,2021-03-31,1,169429,1,169429,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,21878,437,43055,437,(intermediate),,,,,
111,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,439,2021-03-31,1,261675,1,261675,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,22643,439,43055,439,(intermediate),,,,,
112,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,441,2021-03-31,1,78014,1,78014,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,4097,441,43055,441,(intermediate),,,,,
113,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,443,2021-03-31,1,70097,1,70097,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,12201,443,43055,443,(intermediate),,,,,
114,525912,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,445,2021-03-31,1,68162,1,68162,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,22602,445,43055,445,(intermediate),,,,,
